Meaning,,Jurchen,,,,,,Manchu,,,,,,Xibe,,,,,,Hezhe,,,,,,Kur-Urmì,,,,,,Bikin Nanai,,,,,,Najkhin Nanai,,,,,,Ulch,,,,,,Orok,,,,,,Udihe,,,,,,Oroch,,,,,,Solon,,,,,,Oroqen,,,,,,Khamnigan Evenki,,,,,,Stony Tunguska Evenki (Southern),,,,,,"Strelka-Chunya Evenki (Krasnoyarsk krai, Evenki municipal district; Southern)",,,,,,"Tutonchany Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Chiringda Evenki (Krasnoyarsk krai, Evenki municipal district; Northern)",,,,,,"Teteya Evenki (Irkutsk oblast, Katangskiy district; Northern)",,,,,,Negidal,,,,,,Even,,,,,
,root,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basìc orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References,Basic orthography,Standard romanization,IPA,Additional meanings,Comments,References
,haki(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,haki(n),haki(n),χaxqji(n),liver; kidneys,,"Avrorin, Lebedeva 1978: 243",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,duha,duha,duha,duxa,,,Kane 1989: 322,duha,duha,duχa,,,Norman 1978: 65,duχa,duha,duɣɑ,,,Li 1986: 149,,,,,,,,,,,,,dō,doː,doː,,,Sem 1976: 153,,,,,,,,,,,,,,,,,,,do,do,do,inside,,Girfanova 2001: 110,dō,doː,dɔː,soul; inside,,"Avrorin, Lebedeva 1978: 178",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,fukin,,,,,,,,,,,,,,,,,,,,,,,,,fukin,fukin,fukjin,,,Sunik 1958: 198,fuh'i,fuhi,fuxji,,,Sem 1976: 198,puhin,puhin,pwuxjin,,,Onenko 1980: 344,puku(n),puku(n),puku(n),,,Sunik 1985: 226,puxi,puhi,puxi,,,Ikegami 1997: 170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ǝmugdǝ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ǝmugdǝ,ǝmugdǝ,,,,,,,,,,,,,,,,,,,,,
heart (n.),niəma,niema,niəma,niəma,,,Kane 1989: 316,niyaman,nijaman,njijaman,,,Norman 1978: 217,niamən,niamən,ɲiɑmɘn,,,Li 1986: 149,miawun,miawun,miawʊn,,,Zhang et al. 1989: 130,meavan,meavan,mjeavan,,,Sunik 1958: 182,m'ǣva(n),mäːva(n),mjæːwa(n),,,Sem 1976: 172,miavan,meawan,mjeawan,,,Onenko 1980: 261,mēva(n),meːwa(n),mjeːwa(n),,,Sunik 1985: 212,meewa,meːwa,mɛːwɑ,,,Ikegami 1997: 119,meœwa,mäwa,mæwa,,,Girfanova 2001: 217,mæ͜ava(n),mäːawa(n),mjæawa(n),,,"Avrorin, Lebedeva 1978: 204",mēēḡang,meːgaŋ,me̞ːgaŋ,,,Dorji 1998: 438,mᴇᴇgan,meːgan,mɛːgan,,,Hu 1986: 194,miigan,miːgan,mɪːgan,mind,,Tsumagari 1992: 94,mēvan,meːwan,meːwan,,,Vasilevich 1958: 250,,meːgan,meːγan,,,,,meːwan,meːwan,,,,,meːwan,meːwan,,,,,,,,,,mēvan,meːwan,mɛːwan,,,Cincius 1982: 241,mǣvún,miawun,miˁ͡aˁwuˁn,,,Novikova 1980: 190
,hələmə,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hələmə,hələmə,,euphemism: iron-ATR,,,,,,,,,,,,,
here,ə-,,,,,,,e-de,ə-də,ə-də,,this-DAT,Norman 1978: 70,ər-va,ər-va,ɘrvɑ,,this-SUF,Li 1986: 165,ədu,ədu,ɜdu,,etymologically derived from *əi 'this' + DAT,Zhang et al. 1989: 73,ē-du ~ je-du,eː-du ~ je-du,eːdu ~ jedu,,this-DAT,Sunik 1958: 172,èi-du,əi-du,əi-du,,this+DAT,Sem 1976: 210,èj-du,əj-du,əj-dwu,,this-DAT,Avrorin 1959: 261-268,èj-du / nē-dú / jè-du,əj-du / neː-do / jə-du,əj-du / neː-do / jə-du,,this-DAT ,Sunik 1985: 260,jə-du,jə-du,jədu,,this-DAT,Ikegami 1997: 60,odu,odu,odu,,,Girfanova 2001: 241,è̄du,əːdu,əːdu,,< * èi-DAT,"Avrorin, Lebedeva 1978: 256",e-du,ə-du,ədu,,this-DAT ,Dorji 1998: 154,ə-du,ə-du,ədu,,this-DAT ,Hu 1986: 208,ə-duu ~ əwəskii,ə-duː ~ əwəskiː,əduː ~ əwəskiː,,this-DAT,Tsumagari 1992: 94,è-dū,ə-duː,ədʉː,,this-DAT ,Vasilevich 1958: 547,,əduː,əduː,,,,,,,,,,,əduː,əduː,,,,,,,,,,èo-dū,ọ-duː,ɵ-duː,,this-DAT ,Cincius 1982: 302,è-du ~ èv-gin,e-du ~ ew-gin,edu ~ ewgin,,e-du this-DAT; ew-gin this-ADV,"Novikova 1980: 238, 237"
hunt (v.),baːtụ-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bātú-,baːtụ-,baːto-,,,"Avrorin, Lebedeva 1978: 167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bihan (fuli-),,,,,,,,,,,,,,,,,,,biχan fuli-,bihan fuli-,piχan fʋli-,,,An 1986: 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bulta-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bulta-,bulta-,bulta-,,,Vasilevich 1958: 66,,,,,,,,bultaː-,bultaː-,,,,,bultaː-,bultaː-,,,,,bultaː-,bultaː-,,,,,,,,,,,,,,,
,vaịca-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vaíca-,vaịca-,waeʦa-,to fish; to hunt for sable,,Sem 1976: 145,vā-jča-,waː-jča-,waː-jʧa-,,kill-IPFV-,Onenko 1980: 89,,,,,,,,,,,,,wākča- ~ wākca-,waːkča- ~ waːkca-,waːkʧa- ~ waːkʦa-,,,Girfanova 2001: 70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,waː-,waː-,,,,,,,,,,,,,,,,,,,,,
,karačị-,,,,,,,,,,,,,,,,,,,,,,,,,karačì-,karačị-,qaraʧɪ-,,,Sunik 1958: 177,ḳarčí- ~ ḳarčín- ~ ḳarčín-da-,karčị- ~ karčịn- ~ karčịn-da-,qarʧe- ~ qarʧen- ~ qarʧenda-,to fish; to hunt for sable,hunt-SUF-,Sem 1976: 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bəj-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bèj.ču-,bəj.ču-,bəjʧu-,,hunt.SUF-,Sunik 1985: 179,bɵjjɵu-,bọjjọu-,bɵjːɵu-,,,Ikegami 1997: 24,,,,,,,,,,,,,beyuu-si-,bəjuː-ši-,bəjuːʃi-,,wild.animal-SUF-,Dorji 1998: 70,bəju-,bəju-,bəju-,,,Hu 1986: 202,bəjči-,bəjči-,bəjči-,,,Tsumagari 1992: 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bèoǰi-t- ~ bèoǰi-č-,bọji-t- ~ bọji-č-,bɵjit- ~ bɵjiʧ-,,sable-VBLZ-,Cincius 1982: 200,buǰu-,buju-,buju-,,,Novikova 1980: 163
,gobdo-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gobdo-,/gɔb.dɔ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,sahada,sahada,sahada,saxada,,,"Kane 1989: 262, 299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aba-,,,,,,,aba-la-,aba-la-,aba-la-,,aba-la- - hunt-VBLZ ,Norman 1978: 3,avələ-,avələ-,ɑvɘlɘ-,,,Li 1986: 159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tu-,,,,,,,tu-,tu-,tu-,,,Norman 1978: 284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kərəmiː-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kərəmiː-,kərəmiː-,,it means 'to hunt any animal' but etymologically it is 'squirrel-VBLZ.HUNT',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ice (n.),ʤuhə,ǰuhe,ʤuhə,ʤuxə,,,Kane 1989: 157,juhe,ʤuhə,ʤuxə,,,Norman 1978: 164,dʐuxo,ʤuxo,dʐuɣo,,,Li 1986: 143,dʐukə,ʤukə,tʐukhə,,,An 1986: 87,ʒukè,ʤukə,ʤukə,,,Sunik 1958: 175,ʒukè,ʣukə,ʣukə,,,Sem 1976: 157,dûkè,ʤukə,ʤwukə,,,Onenko 1980: 173,ǯuvè,ʤuwə,ʤuwə,,,Sunik 1985: 195,,,,,,,зugde ~ зugə,ʤugde ~ ʤugə,ʣugdə ~ ʣuɣə,,,Girfanova 2001: 140,ǯukè,ʤukə,ʤukə,,,"Avrorin, Lebedeva 1978: 184",,,,,,,,,,,,,,,,,,,dûkè,ʤukə,ʤʉkə,,,Vasilevich 1958: 140,,ďukə,ďukə,,,,,ďukə,ďukɵ,,,,,ďukə,ďukə,,,,,ďukɵ,ďukɵ,,,,ǯuhè ~ ǯukè,ʤuhə ~ ʤukə,ʤuxə ~ ʤukə,creep up,,Cincius 1982: 218,ǯôk,ʤok,ʤok,,,Novikova 1980: 174
,bukkə(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bukkə(n),bukkə(n),bukːə(n),,,Ikegami 1997: 26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bôkăs,bokes,bokes,,,Novikova 1980: 163
,bəlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bəlu,/bə.lu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,əməšši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emeqqi,əməšši,əməʃːi,,,Dorji 1998: 172,umukʃu,umukšu,umukʃu,,,Hu 1986: 190,umuksə,umuksə,umuksə,,,Tsumagari 1992: 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lake (n.),talgə,,,,,,,,,,,,,,,,,,,talgə,talgə,thaɬgə,,,Zhang et al. 1989: 132,talga,talga,talɢa,,big lake with a channel,Sunik 1958: 192,talǧa(n),talga(n),talɢa(n),gulf,lake with a channel / river,Sem 1976: 188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hujo,,,,,,,,,,,,,,,,,,,xujo,hujo,χujo,,,An 1986: 87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,toŋi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toŋi,toŋi,thoŋi,,,Girfanova 2001: 301,tuŋgi,tuŋgi,tuŋgji,,,Schmidt 1928: 60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tôŋè̄r,toŋeːr,toŋeːr,,,Novikova 1980: 213
,omo,,,,,,,omo,omo,omo,,,Norman 1978: 223,om,om,om,,,Li 1986: 143,,,,,,,amkan,amkan,amqan,,little lake,Sunik 1958: 164,amo(n) ~ amu̇(n),amo(n),amo(n),marsh,a lake without channel,Sem 1976: 138,amoan,amoan,amwoan,,,Onenko 1980: 38,omo(n),omo(n),omo(n),,,Sunik 1985: 221,omoo(n),omoː(n),ɔmɔː(n),,,Ikegami 1997: 147,,,,,,,omo,omo,ɔmɔ,,,Schmidt 1928: 50,amoji,amụʤi,amʊʤɪ,,,Dorji 1998: 30,amʊʤɪ,amụʤe,amʊʤe,,,Hu 1986: 190,amuči,amuči,amʊčɪ,,,Tsumagari 1992: 95,āmut,aːmut,aːmut,,,Vasilevich 1958: 29,,amut,amut,,,,,amutkaːn,amutkaːn,,lake-DIM,,,amut,amut,,,,,,,,,,amut,amut,amut,,,Cincius 1982: 191,,,,,,
,usi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,usi,usi,usji,,,Schmidt 1928: 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,aụị,,,,,,,,,,,,,,,,,,,,,,,,,au̇ì,aụị,aʊɪ,,"cyr. ау̇I, big lake with slough",Sunik 1958: 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,həwə(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hèvè(n),həwə(n),xəwə(n),,big lake,Sunik 1985: 254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,noro,,,,,,,,,,,,,norw,noro,noro,,,Li 1986: 143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ńarut,ɲarut,,,,,,,,,,,,,,,
live (v.),banʤi-,,,,,,,banji-,banʤi-,banʤi-,be born,,Norman 1978: 25,bandʐi- ~ bənʥi-,banʤi- ~ bənʤi-,bɑnʥi- ~ bɘnʥi-,,,Li 1986: 161,baldi-,baldi-,paɬdi-,,,Zhang et al. 1989: 133,baldì-,baldị-,baldɪ-,be born; grow,,Sunik 1958: 166,bal'd'í-,baldị-,baldje-,be born; grow,,Sem 1976: 141,baldi-,balʤe-,balʤe-,be born; grow,,Onenko 1980: 59,balda- ~ baldí- ~ baldú-,balda- ~ balde- ~ baldo-,balda- ~ balde- ~ baldo-,be; be born; grow,,Sunik 1985: 175,balǰi-,balʤi-,bɑl̥ʤi-,be born,,Ikegami 1997: 16,bagdi-,bagdi-,bagdi-,be born; grow,,Girfanova 2001: 46,bāgdi-,baːgdi-,baːgdi-,be born; grow,,"Avrorin, Lebedeva 1978: 166",baldi-,baldi-,baldɪ-,,,Dorji 1998: 57,baldɪ-,balde-,balde-,,,Hu 1986: 204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,baldi-,baldi-,baldi-,be born; give birth; grow; be,,Cincius 1982: 196,,,,,,
,bii-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bii-,/bi:/,,,Czerwinski's fielddata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bide- ~ bi-,biʤə- ~ bi-,bɨʤə- ~ bɨ-,,,Vasilevich 1958: 53,,bi-,bi-,,'be',,,bi-,bi-,,,,,bi-,bi-,'be',,,,bi-,bi-,be,,,,,,,,,bi- ~ bi-ǯèn-,bi- ~ bi-ʤen-,bi- ~ bi-ʤen-,bi- - be; exist,be-SUF-,Novikova 1980: 161
,tahasu,tahasu,tahasu,taxasu,,,Kane 1989: 294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,inə-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ine-,inə-,inə-,,,Dorji 1998: 333,,,,,,,iinikin,iːnikin,iːɲikin,,living; be alive,Tsumagari 1992: 95,,,,,,,,in-,in-,,,,,in-,in-,,,,,in-,in-,,,,,,,,,,,,,,,,,,,,,
moon (n.),biəa,bie'a,biəa,biəa,,,Kane 1989: 135,biya,bija,bjija,month,,Norman 1978: 31,bia,bia,biɑ,month,,Li 1986: 143,bia,bia,pia,month,cf. month,Zhang et al. 1989: 134,bìa,bịa,bjæ,month,,Sunik 1958: 166,b'ǣ,bäː,bjæː,month,cf. month,Sem 1976: 142,bia,bea,bea,month,,Onenko 1980: 65,bē,beː,bjeː,month,,Sunik 1985: 176,bee,beː,bɛː,month,,Ikegami 1997: 17,beœ,bä,bjæ,month,,Girfanova 2001: 68,bæ,bäː,bjæ,month,,"Avrorin, Lebedeva 1978: 167",bēēḡa,beːga,be̞ːga,month,,Dorji 1998: 70,bᴇᴇag,beːag,bɛːaɣ,,,Hu 1986: 190,beega,beːga,beːga,month,,Tsumagari 1992: 96,bēga,beːga,beːɣa,month,,Vasilevich 1958: 52,,beːga,beːγa,month,,,,beːga,beːga,month,,,,beːga,beːγa,,,,,beːga,beːγa,moon,,,bēɣa,beːga,bɛːga,month,,Cincius 1982: 196,bǣɣ,biag,biˁ͡aˁɣ,month,,Novikova 1980: 161
,atkikan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,atḳíḳan,atkikan,aˁtkiˁqaˁn,month,,Novikova 1980: 159
narrow,nəmnə,,,,,,,,,,,,,,,,,,,nəmnə,nəmnə,nəmnə,thin,cf. thin,Zhang et al. 1989: 134,nèmnè,nəmnə,nəmnə,,cf. thin,Sunik 1958: 185,,,,,,,nèmdè,nəmdə,nəmdə,thin,,Onenko 1980: 299,nèmdè,nəmdə,nəmdə,,,Sunik 1985: 218,nəmdə,nəmdə,nəmdə,thin,,Ikegami 1997: 136,nèmnèsˀè,nəmnəsˀə,nəmnəsə̰,,about layers,Kormushin 1998: 268 ,nèmnè,nəmnə,nəmnə,thin (flat objects),cf. thin,"Avrorin, Lebedeva 1978: 209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,kaŋkäsˀa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kaŋkeœsˀa,kaŋkäsˀa,kaŋkjæsa̰,close-bodied,,Girfanova 2001: 163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,umi,,,,,,,,,,,,,,,,,,,,,,,,,umi,umi,umji,,cf. thin,Sunik 1958: 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,firmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f'irm'i,firmi,fjirmji,,,Sem 1976: 196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,isəhun,isehun,isəhun,isəxun,,,Kane 1989: 171,isheliyen,ishəlijən,isxəljijən,,,Norman 1978: 150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hevərhun,,,,,,,,,,,,,χɛvərχun,hevərhun,xɛvɘrxun,,,Li 1986: 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,čuputi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čúpútí,čuputi,ʧuˁpuˁtiˁ,,,Novikova 1980: 236
,kadag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ḳadắɣ,kadag,qaˁdaˁɣ,,,Novikova 1980: 181
,dašši,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,daqqi,dašši,daʃːɪ,,,Dorji 1998: 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,šili-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ʃili-mkun,šili-mkun,ʃilimkun,,narrow-ADJ,Hu 1986: 205,,,,,,,sili-mkūn,sili-mkuːn,sɨlɨmkʉːn,,narrow-ADJ,Vasilevich 1958: 352,,,,,,,,śilimkuːn,śilimkuːn,,narrow-DIM,,,,,,,,,,,,,,sili-mkūn,sili-mkuːn,silimkuːn,,narrow-ADJ,Cincius 1982: 266,,,,,,
,čikɒː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,čikɒː,t͡ʃikɒː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,tyjəː,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tyjəː,tɨjœː,not having enough space,,,,,,,,,,tyjəː,tɨjœː,not having enough space,,,,,,,,,,,,,,,,,,,,
near,hanči,hanči,hanči,xanʧi,,,Kane 1989: 174,hanci,hanči,χanʧi,,,Norman 1978: 124,,,,,,,qalʨi,kalči,qɑɬʨhi,,,An 1986: 101,kalčì,kalčị,qalʧɪ,,,Sunik 1958: 177,ḳal'čí,kalčị,qalʧe,,,Sem 1976: 162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʤaqpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ǯaḳpa,ʤaqpa,ʤaqpa,,,Sunik 1985: 194,,dakpa (S) dapka (N),"/dak.pa/, /dap.ka/",,,,,,,,,,ǯappa,ʤappa,ʤapːa,,adverb / postposition,"Avrorin, Lebedeva 1978: 182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,darị(n)-darị(n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dar'í(n)-dar'í(n),darị(n)-darị(n),darje(n)-darje(n),,,Sem 1976: 152,,,,,,,,,,,,,,,,,,,dāsˀa,daːsˀa,daːsa̰,,,Girfanova 2001: 103-104,,,,,,,daḡ,dag,daɣ,,daḡ - adjective,Dorji 1998: 104,daga,daga,daɣa,,,Hu 1986: 205,daga,daga,daɣa,,,Tsumagari 1992: 96,daga,daga,daɣa,,,Vasilevich 1958: 103,,daga,daγa,,,,,dagakaːn,daγakaːn,,near-DIM,,,,,,,,,,,,,,daɣa,daga,daɣa,,,Cincius 1982: 207,,,,,,
,laŋ-laŋ,,,,,,,,,,,,,,,,,,,,,,,,,laŋ-laŋ,laŋ-laŋ,laŋ-laŋ,,,Sunik 1958: 180,laŋ-laŋ,laŋ-laŋ,laŋ-laŋ,,,Sem 1976: 169,lang,laŋ,laɴ,,,Onenko 1980: 245,laň,laŋ,laŋ,,,Sunik 1985: 209,laxa,laha,lɑχɑ,,,Ikegami 1997: 111,laŋ,laŋ,laŋ,,,Kormushin 1998: 256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ʤeʤa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ǯíǯa,ʤeʤa,ʤeʤa,,,Sunik 1985: 195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
